Roll Number,Name,DOB,Course,Batch,Campus,School,Mobile Number,Personal Email,College Email,Admission Type
CB.EN.U4AIE21101,Aadya Goel,11-03-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9420020110,aadya.goel@gmail.com,cb.en.u4aie21101@cb.students.amrita.edu,Merit
CB.EN.U4AIE21102,Aishwarya Narayan,21-04-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9106544839,aishwarya.narayan@gmail.com,cb.en.u4aie21102@cb.students.amrita.edu,Management
CB.EN.U4AIE21103,Alavalapati Sai Praneeth Reddy,25-09-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9670727118,alavalapati.sai praneeth reddy@gmail.com,cb.en.u4aie21103@cb.students.amrita.edu,Management
CB.EN.U4AIE21104,Ashwin Devan,05-05-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9512461949,ashwin.devan@gmail.com,cb.en.u4aie21104@cb.students.amrita.edu,Merit
CB.EN.U4AIE21105,Balasuriya R,23-12-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9891086594,balasuriya.r@gmail.com,cb.en.u4aie21105@cb.students.amrita.edu,Merit
CB.EN.U4AIE21106,Bhaswanth Reddy Indukuri,26-10-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9715588162,bhaswanth.reddy indukuri@gmail.com,cb.en.u4aie21106@cb.students.amrita.edu,Merit
CB.EN.U4AIE21107,Chinta Subha Srikar,25-11-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9830855526,chinta.subha srikar@gmail.com,cb.en.u4aie21107@cb.students.amrita.edu,Management
CB.EN.U4AIE21108,Devika K,10-08-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9824966132,devika.k@gmail.com,cb.en.u4aie21108@cb.students.amrita.edu,Merit
CB.EN.U4AIE21109,Dhanush Sanapala,06-09-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9654694284,dhanush.sanapala@gmail.com,cb.en.u4aie21109@cb.students.amrita.edu,Merit
CB.EN.U4AIE21110,G.A.VIGHASHVAR,14-10-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9691724166,vighashvar@gmail.com,cb.en.u4aie21110@cb.students.amrita.edu,Merit
CB.EN.U4AIE21111,Gali Anand Raj,11-04-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9257334046,gali.anand raj@gmail.com,cb.en.u4aie21111@cb.students.amrita.edu,Management
CB.EN.U4AIE21112,Gayathri Devi R V,01-08-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9273725081,gayathri.devi r v@gmail.com,cb.en.u4aie21112@cb.students.amrita.edu,Merit
CB.EN.U4AIE21113,Hari Prasath.s.b,10-04-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9116282849,hari.prasath.s.b@gmail.com,cb.en.u4aie21113@cb.students.amrita.edu,Merit
CB.EN.U4AIE21114,Harish R,12-12-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9658123426,harish.r@gmail.com,cb.en.u4aie21114@cb.students.amrita.edu,Merit
CB.EN.U4AIE21115,Hemavathi Yerchuru,11-05-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9365209487,hemavathi.yerchuru@gmail.com,cb.en.u4aie21115@cb.students.amrita.edu,Merit
CB.EN.U4AIE21116,Ishan Praveen,23-06-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9917526173,ishan.praveen@gmail.com,cb.en.u4aie21116@cb.students.amrita.edu,Management
CB.EN.U4AIE21117,Jaidev,11-01-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9675613349,jaidev@gmail.com,cb.en.u4aie21117@cb.students.amrita.edu,Merit
CB.EN.U4AIE21118,JAMPALA SAI CHANDANA,22-05-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9928036402,jampala.sai chandana@gmail.com,cb.en.u4aie21118@cb.students.amrita.edu,Management
CB.EN.U4AIE21119,K SATYA NARAYANA REDDY,11-02-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9711214729,k.satya narayana reddy@gmail.com,cb.en.u4aie21119@cb.students.amrita.edu,Management
CB.EN.U4AIE21120,Kalyana Sundaram M,13-01-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9659120422,kalyana.sundaram m@gmail.com,cb.en.u4aie21120@cb.students.amrita.edu,Management
CB.EN.U4AIE21121,Karthik M S,21-08-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9486725063,karthik.m s@gmail.com,cb.en.u4aie21121@cb.students.amrita.edu,Merit
CB.EN.U4AIE21122,Kaushik Jonnada,14-01-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9680349944,kaushik.jonnada@gmail.com,cb.en.u4aie21122@cb.students.amrita.edu,Management
CB.EN.U4AIE21123,Kishoar Hari V,02-11-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9740333720,kishoar.hari v@gmail.com,cb.en.u4aie21123@cb.students.amrita.edu,Management
CB.EN.U4AIE21124,KODE SRI NAGA HARSHA VARDHAN,24-12-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9213038914,kode.sri naga harsha vardhan@gmail.com,cb.en.u4aie21124@cb.students.amrita.edu,Management
CB.EN.U4AIE21125,Kuppala Gowtham Sai Chandra,15-06-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9190462235,kuppala.gowtham sai chandra@gmail.com,cb.en.u4aie21125@cb.students.amrita.edu,Merit
CB.EN.U4AIE21126,Kurakula Prashanth,12-09-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9836109892,kurakula.prashanth@gmail.com,cb.en.u4aie21126@cb.students.amrita.edu,Merit
CB.EN.U4AIE21127,Atmuri Likith Adithya,03-12-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9317464157,atmuri.likith adithya@gmail.com,cb.en.u4aie21127@cb.students.amrita.edu,Merit
CB.EN.U4AIE21128,M . Srinivasa Sai Kumar Reddy,06-07-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9940947269,m.. srinivasa sai kumar reddy@gmail.com,cb.en.u4aie21128@cb.students.amrita.edu,Management
CB.EN.U4AIE21129,M R Madhumita,20-06-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9416856305,m.r madhumita@gmail.com,cb.en.u4aie21129@cb.students.amrita.edu,Management
CB.EN.U4AIE21130,M SAI RAHUL,14-11-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9424072217,m.sai rahul@gmail.com,cb.en.u4aie21130@cb.students.amrita.edu,Management
CB.EN.U4AIE21131,Madha Santhosh Kumar Reddy,07-01-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9360354793,madha.santhosh kumar reddy@gmail.com,cb.en.u4aie21131@cb.students.amrita.edu,Merit
CB.EN.U4AIE21132,Maha Nivetha Jk,23-04-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9305623442,maha.nivetha jk@gmail.com,cb.en.u4aie21132@cb.students.amrita.edu,Merit
CB.EN.U4AIE21133,Manjunath K P,03-04-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9878150746,manjunath.k p@gmail.com,cb.en.u4aie21133@cb.students.amrita.edu,Management
CB.EN.U4AIE21134,Miriyala Ruthvik Guptha,07-07-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9243139566,miriyala.ruthvik guptha@gmail.com,cb.en.u4aie21134@cb.students.amrita.edu,Merit
CB.EN.U4AIE21135,Mokshit Kumar Jain Ranka,05-02-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9427998089,mokshit.kumar jain ranka@gmail.com,cb.en.u4aie21135@cb.students.amrita.edu,Management
CB.EN.U4AIE21136,MUGUNTHAN K,04-08-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9925834672,mugunthan.k@gmail.com,cb.en.u4aie21136@cb.students.amrita.edu,Management
CB.EN.U4AIE21137,Munnangi Pranish Kumar,19-03-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9530376999,munnangi.pranish kumar@gmail.com,cb.en.u4aie21137@cb.students.amrita.edu,Merit
CB.EN.U4AIE21138,Murukuti Sree Surya Vardhan Reddy,07-02-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9970773548,murukuti.sree surya vardhan reddy@gmail.com,cb.en.u4aie21138@cb.students.amrita.edu,Merit
CB.EN.U4AIE21139,Nallamilli Sai Satwik Reddy,27-05-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9834434665,nallamilli.sai satwik reddy@gmail.com,cb.en.u4aie21139@cb.students.amrita.edu,Management
CB.EN.U4AIE21140,Nattuva Bhavya Rupa,13-04-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9523808008,nattuva.bhavya rupa@gmail.com,cb.en.u4aie21140@cb.students.amrita.edu,Merit
CB.EN.U4AIE21141,Navuduri Sameer,18-07-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9194913241,navuduri.sameer@gmail.com,cb.en.u4aie21141@cb.students.amrita.edu,Management
CB.EN.U4AIE21142,Padala Jnaneswara Surya Sai Prasad Reddy,23-05-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9707960418,padala.jnaneswara surya sai prasad reddy@gmail.com,cb.en.u4aie21142@cb.students.amrita.edu,Management
CB.EN.U4AIE21143,Parthvi Manoj,13-05-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9405598592,parthvi.manoj@gmail.com,cb.en.u4aie21143@cb.students.amrita.edu,Merit
CB.EN.U4AIE21144,Peddireddy hanuvardhan,04-03-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9246046346,peddireddy.hanuvardhan@gmail.com,cb.en.u4aie21144@cb.students.amrita.edu,Management
CB.EN.U4AIE21145,Perarapu Lakshmi Sri,20-09-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9514128963,perarapu.lakshmi sri@gmail.com,cb.en.u4aie21145@cb.students.amrita.edu,Merit
CB.EN.U4AIE21146,Pobbathi Sai Siddharth,17-10-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9523825191,pobbathi.sai siddharth@gmail.com,cb.en.u4aie21146@cb.students.amrita.edu,Merit
CB.EN.U4AIE21147,Praneetha K,22-09-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9728336150,praneetha.k@gmail.com,cb.en.u4aie21147@cb.students.amrita.edu,Management
CB.EN.U4AIE21148,PULAGALA SAI ABHIRAM,09-01-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9595872725,pulagala.sai abhiram@gmail.com,cb.en.u4aie21148@cb.students.amrita.edu,Merit
CB.EN.U4AIE21149,R Raveena,10-06-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9733140804,r.raveena@gmail.com,cb.en.u4aie21149@cb.students.amrita.edu,Management
CB.EN.U4AIE21150,Rachit Agarwal,28-09-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9519402279,rachit.agarwal@gmail.com,cb.en.u4aie21150@cb.students.amrita.edu,Management
CB.EN.U4AIE21151,Rahul Krishna,14-01-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9948887113,rahul.krishna@gmail.com,cb.en.u4aie21151@cb.students.amrita.edu,Merit
CB.EN.U4AIE21152,Ramisetty Lakshmi Venkat,04-04-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9906956029,ramisetty.lakshmi venkat@gmail.com,cb.en.u4aie21152@cb.students.amrita.edu,Management
CB.EN.U4AIE21153,Ravulapati Vinay Sai,16-02-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9400763921,ravulapati.vinay sai@gmail.com,cb.en.u4aie21153@cb.students.amrita.edu,Management
CB.EN.U4AIE21154,RISHI M,04-12-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9614901042,rishi.m@gmail.com,cb.en.u4aie21154@cb.students.amrita.edu,Merit
CB.EN.U4AIE21155,Rohit Thyla D,03-10-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9534046393,rohit.thyla d@gmail.com,cb.en.u4aie21155@cb.students.amrita.edu,Management
CB.EN.U4AIE21156,S. SHIRISH KRISHNA,22-05-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9317106267,s..shirish krishna@gmail.com,cb.en.u4aie21156@cb.students.amrita.edu,Management
CB.EN.U4AIE21157,Sadanala Aswitha,15-09-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9436461685,sadanala.aswitha@gmail.com,cb.en.u4aie21157@cb.students.amrita.edu,Management
CB.EN.U4AIE21158,Sahil Khandelwal,19-03-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9878814861,sahil.khandelwal@gmail.com,cb.en.u4aie21158@cb.students.amrita.edu,Management
CB.EN.U4AIE21159,Sakthi Swaroopan S,08-08-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9850219895,sakthi.swaroopan s@gmail.com,cb.en.u4aie21159@cb.students.amrita.edu,Management
CB.EN.U4AIE21160,Sanjay Chidambaram,13-07-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9557203532,sanjay.chidambaram@gmail.com,cb.en.u4aie21160@cb.students.amrita.edu,Management
CB.EN.U4AIE21161,Sanjay Kishore Saravanan,27-10-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9707090996,sanjay.kishore saravanan@gmail.com,cb.en.u4aie21161@cb.students.amrita.edu,Merit
CB.EN.U4AIE21162,SANKURABHUKTA SRI MIDHINESH,05-08-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9446864586,sankurabhukta.sri midhinesh@gmail.com,cb.en.u4aie21162@cb.students.amrita.edu,Management
CB.EN.U4AIE21163,Sarvesh Shashikumar,27-02-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9136957034,sarvesh.shashikumar@gmail.com,cb.en.u4aie21163@cb.students.amrita.edu,Management
CB.EN.U4AIE21164,SEETHARAMAN P,01-09-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9844266183,seetharaman.p@gmail.com,cb.en.u4aie21164@cb.students.amrita.edu,Merit
CB.EN.U4AIE21165,Shambhav Nayanar,10-08-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9483822471,shambhav.nayanar@gmail.com,cb.en.u4aie21165@cb.students.amrita.edu,Management
CB.EN.U4AIE21166,Siddharth Poduval,15-10-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9253226587,siddharth.poduval@gmail.com,cb.en.u4aie21166@cb.students.amrita.edu,Management
CB.EN.U4AIE21167,Subikksha,22-02-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9369040770,Subikksha@gmail.com,cb.en.u4aie21167@cb.students.amrita.edu,Management
CB.EN.U4AIE21168,Sudiksha Kumari,28-09-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9208411238,sudiksha.kumari@gmail.com,cb.en.u4aie21168@cb.students.amrita.edu,Merit
CB.EN.U4AIE21169,T.charishma Chowdary,01-07-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9102258734,t.charishma.chowdary@gmail.com,cb.en.u4aie21169@cb.students.amrita.edu,Management
CB.EN.U4AIE21170,Taruneshwaran T,22-02-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9519271483,taruneshwaran.t@gmail.com,cb.en.u4aie21170@cb.students.amrita.edu,Management
CB.EN.U4AIE21171,Thanushri Madhuraj,09-10-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9723091091,thanushri.madhuraj@gmail.com,cb.en.u4aie21171@cb.students.amrita.edu,Merit
CB.EN.U4AIE21172,Vali Poorna Muni Sasidhar Reddy,21-02-2004,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9423682741,vali.poorna muni sasidhar reddy@gmail.com,cb.en.u4aie21172@cb.students.amrita.edu,Merit
CB.EN.U4AIE21173,Velamuru Sai Yashwitha Reddy,22-07-2003,CSE - AI,2021 AIE B,Coimbatore,School of AIE,9195645507,velamuru.sai yashwitha reddy@gmail.com,cb.en.u4aie21173@cb.students.amrita.edu,Management
